date,min_temp,max_temp,avg_temp,median_temp,std_temp,precipitation,wind_speed
2025-05-19,3.7,15.6,10.32,9.8,3.87,0.0,2.17
2025-05-20,3.6,8.3,6.27,6.4,1.2,0.4,1.88
2025-05-21,2.0,5.9,3.48,3.4,0.91,11.2,1.6
2025-05-22,2.8,9.7,6.46,6.7,2.05,8.0,2.95
2025-05-23,1.9,8.4,5.85,5.8,1.61,1.8,1.81
2025-05-24,3.7,8.0,5.7,5.7,1.24,55.4,1.67
2025-05-25,2.9,14.9,10.49,11.5,3.74,4.3999999999999995,2.81
