Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (mnd);Minimumstemperatur (mnd);Date
Lade;SN68050;09.2023;23.1;3.0;2023-09-01
Lade;SN68050;10.2023;14.1;-8.7;2023-10-01
Lade;SN68050;11.2023;6.2;-12.6;2023-11-01
Lade;SN68050;12.2023;9.3;-14.6;2023-12-01
Lade;SN68050;01.2024;11.1;-16.2;2024-01-01
Lade;SN68050;02.2024;9.9;-12.5;2024-02-01
Lade;SN68050;03.2024;11.9;-6.1;2024-03-01
Lade;SN68050;04.2024;17.3;-4.0;2024-04-01
Lade;SN68050;05.2024;29.7;2.4;2024-05-01
Lade;SN68050;06.2024;31.9;3.0;2024-06-01
Lade;SN68050;07.2024;29.9;8.5;2024-07-01
Lade;SN68050;08.2024;26.4;8.1;2024-08-01
Lade;SN68050;09.2024;24.5;-0.8;2024-09-01
Lade;SN68050;10.2024;17.8;-1.0;2024-10-01
Lade;SN68050;11.2024;12.7;-8.4;2024-11-01
Lade;SN68050;12.2024;12.9;-9.8;2024-12-01
Lade;SN68050;01.2025;13.0;-16.1;2025-01-01
Lade;SN68050;02.2025;11.3;-10.1;2025-02-01
Lade;SN68050;03.2025;13.8;-3.4;2025-03-01
Lade;SN68050;04.2025;17.2;-1.3;2025-04-01
Lade;SN68050;05.2025;19.6;1.9;2025-05-01
